time,magnitude,e_magnitude,band,system,flux_density(mjy),flux_density_error,flux(erg/cm2/s),flux_error,time (days),detected,limiting_magnitude
59581.62360838701,27.032686745217475,,lsstu,AB,0.0,,5.87781597157465e-17,7.644e-17,-0.37639161299011903,0.0,25.0
59582.175672087134,,,lsstg,AB,0.0,,-2.1255536571099298e-16,1.2148e-16,0.17567208713444415,0.0,25.0
59582.52764181123,24.954006753284737,,lsstz,AB,0.0,,1.5075271618538437e-16,1.8234667255477537e-16,0.5276418112334795,0.0,23.0
59583.10781532749,27.17132420092259,,lsstu,AB,0.0,,5.1732206484165953e-17,7.644e-17,1.1078153274866054,0.0,25.0
59583.17969189986,27.032809269099367,,lsstg,AB,0.0,,9.340090406085103e-17,1.2148e-16,1.1796918998588808,0.0,25.0
59583.51407018824,24.48881845697416,,lssti,AB,0.0,,3.633348976846147e-16,2.863284429251109e-16,1.5140701882410212,0.0,23.0
59583.97162075973,,,lsstu,AB,0.0,,-7.858909327716672e-18,7.644e-17,1.9716207597302855,0.0,25.0
59584.33109607184,27.192973010300655,,lsstz,AB,0.0,,1.9172495432209614e-17,1.8234667255477537e-16,2.331096071837237,0.0,23.0
59584.667991439135,,,lsstg,AB,0.0,,-2.2724856850895493e-16,1.2148e-16,2.6679914391352213,0.0,25.0
59585.596149586156,,,lsstg,AB,0.0,,-9.38736906696963e-18,1.2148e-16,3.5961495861556614,0.0,25.0
59585.650803067314,24.14914346917574,,lsstz,AB,0.0,,3.1638104735971453e-16,1.8234667255477537e-16,3.650803067313973,0.0,23.0
59585.690643226815,27.130370047748617,,lsstu,AB,0.0,,5.3720823767508916e-17,7.644e-17,3.6906432268151548,0.0,25.0
59585.81186551598,25.944123438218302,,lssti,AB,0.0,,9.510100809571343e-17,2.863284429251109e-16,3.8118655159778427,0.0,23.0
59586.05113005919,,,lsstr,AB,0.0,,-5.992764688683029e-17,1.0881876659437988e-16,4.051130059189745,0.0,24.5
59586.522741342254,,,lsstu,AB,0.0,,-1.3005662592433645e-17,7.644e-17,4.522741342254449,0.0,25.0
59587.06871045133,,,lsstg,AB,0.0,,-1.74356845389416e-16,1.2148e-16,5.068710451327206,0.0,25.0
59587.24272779,25.100065862349258,,lssti,AB,0.0,,2.069227068345013e-16,2.863284429251109e-16,5.242727789998753,0.0,23.0
59587.360257467706,26.75377065798594,,lsstu,AB,0.0,,7.5994545073575e-17,7.644e-17,5.360257467706106,0.0,25.0
59588.006578956745,,,lsstz,AB,0.0,,-1.4950310575839578e-16,1.8234667255477537e-16,6.006578956745216,0.0,23.0
59588.570348601104,,,lsstg,AB,0.0,,-1.7145052187913418e-16,1.2148e-16,6.570348601104342,0.0,25.0
59589.25722053772,,,lsstu,AB,0.0,,-8.747584511664555e-17,7.644e-17,7.257220537721878,0.0,25.0
59589.49677921505,,,lsstg,AB,0.0,,-1.3919031273490874e-16,1.2148e-16,7.496779215049173,0.0,25.0
59590.15486494709,27.789911107016362,,lsstu,AB,0.0,,2.926349812201866e-17,7.644e-17,8.154864947093301,0.0,25.0
59590.19191796485,,,lsstz,AB,0.0,,-2.6987647882391342e-17,1.8234667255477537e-16,8.191917964846652,0.0,23.0
59590.40764861991,25.879676418057027,,lsstg,AB,0.0,,2.701495325250015e-16,1.2148e-16,8.407648619911924,0.0,25.0
59590.58634872424,24.761210257693374,,lssti,AB,0.0,,2.8271600338876404e-16,2.863284429251109e-16,8.586348724238633,0.0,23.0
59591.190865302204,,,lsstu,AB,0.0,,-5.030102788955375e-17,7.644e-17,9.190865302203747,0.0,25.0
59591.62147634224,,,lsstz,AB,0.0,,-3.885911969109745e-17,1.8234667255477537e-16,9.621476342239475,0.0,23.0
59591.65276662534,26.229206918712254,,lsstr,AB,0.0,,1.1066009429352487e-16,1.0881876659437988e-16,9.6527666253387,0.0,24.5
59591.86537831758,26.052180967438684,,lsstu,AB,0.0,,1.4501679270936447e-16,7.644e-17,9.865378317583236,0.0,25.0
59592.04599621828,27.145996375145828,,lsstg,AB,0.0,,8.415428559621607e-17,1.2148e-16,10.04599621827947,0.0,25.0
59593.26264103535,,,lssti,AB,0.0,,-3.960811679278683e-16,2.863284429251109e-16,11.26264103534777,0.0,23.0
59593.70061379742,30.324526461635234,,lsstg,AB,0.0,,4.504682671885347e-18,1.2148e-16,11.700613797416736,0.0,25.0
59594.79182723709,,,lsstz,AB,0.0,,-9.093426952473712e-17,1.8234667255477537e-16,12.791827237088,0.0,23.0
59595.83148131785,24.73239873100919,,lsstz,AB,0.0,,1.848878425400591e-16,1.8234667255477537e-16,13.831481317851285,0.0,23.0
59595.92358251077,23.912913994841183,,lssti,AB,0.0,,6.175454097766948e-16,2.863284429251109e-16,13.923582510768028,0.0,23.0
59596.4607805806,28.146773217721666,,lsstr,AB,0.0,,1.892189012627966e-17,1.0881876659437988e-16,14.46078058060084,0.0,24.5
59596.68093550168,,,lsstz,AB,0.0,,-1.149244829432669e-16,1.8234667255477537e-16,14.680935501681233,0.0,23.0
59597.74455058357,,,lsstz,AB,0.0,,-7.061953376124244e-17,1.8234667255477537e-16,15.744550583571254,0.0,23.0
59597.9457277056,24.61969752363357,,lssti,AB,0.0,,3.2207386606360096e-16,2.863284429251109e-16,15.945727705598983,0.0,23.0
59599.89467853853,,,lssti,AB,0.0,,-2.2501385958798084e-16,2.863284429251109e-16,17.894678538526932,0.0,23.0
